video_id,colour-1,colour-2,colour-3,colour-4
--uXQQ0h-yQ,#141415,#818583,#c8d0cc,#3a3837
-3VBPAZPTQI,#462d24,#b8b0ab,#b68d7b,#976450
-43MBOJnVks,#c0bcaf,#636564,#9f998d,#827f79
-5WBCrazSfg,#6f6345,#bda088,#d2e4e1,#181410
-5aaJJQFvOg,#25181f,#ccbacf,#a6828a,#b02937
-7tSTUR7FG0,#9b9a9a,#5b5c63,#c6c5c5,#13151e
-8X32zNup1o,#f3f3f4,#15151e,#aaa4aa,#565461
-A9rYcBmBFo,#210c0c,#e4dcc5,#9c7c68,#732420
-B7J36GNaDk,#a79583,#d1ddd7,#5c766e,#b2beb6
-BDImdAfodA,#281b1d,#cfc4bf,#574749,#9b8a82
-CCw4ZzOGlI,#311b40,#4039d8,#d5a1c2,#4e2387
-DRsfNObKIQ,#d7292d,#222741,#998474,#6c1a1d
-GZZ-KSfuCw,#60675f,#343e47,#191f21,#9ca5be
-Gptp_ui-Sg,#977770,#bfaba2,#644e53,#39252b
-GvVeT7pNT8,#eef2f9,#86879f,#b6b8cd,#5b2636
-KeFvjm_hcA,#e7daca,#251f18,#afa689,#63614b
-N5eucPMTTc,#d6d2cb,#18292c,#80897c,#e9c450
-PJaVBbRKcI,#4d4b61,#9188a0,#d8d7e8,#21192a
-QPdRfqTnt4,#262122,#8b8b8a,#55504d,#cacfcd
-SIp6xSP7ds,#4d1b1b,#3cd5e3,#0a5095,#9e867c
-VgOGzBcMIg,#73949d,#9d688f,#c1afbe,#584958
-XcvFTYVxnA,#654e41,#ded0bb,#9a846f,#1e1717
-a12nTEcoqE,#9a7b74,#1e171c,#643e3d,#ded8db
-bx_vG94LSo,#0f0c07,#a8956c,#685e43,#393120
-crLmRLgeNE,#102129,#536c86,#9ca7bc,#30495e
-jWIDwq44ZI,#494928,#e2edde,#0a0d07,#978a5b
-kxPDAiuijo,#c8a7b9,#ba4859,#261925,#5b414f
-l6wrTvMcbY,#846783,#dd94ab,#e19a43,#4f3e34
-mNlASb89Wo,#1e1a15,#4e453e,#b89c7a,#c61011
-mZZAvIHMvQ,#23291e,#cbb3ab,#968a75,#5a624b
-pOSRBAqUdM,#c9c4c4,#904648,#ebe8e8,#3d1819
